attribute,unit,period,value
Surface water (Lake) (DV),m3, Jan,4987.0
Surface water (Lake) (YB),m3, Jan,0.0
Surface water (Lake) (DV+YB),m3, Jan,4987.0
Ground water (wells) (DV),m3, Jan,0.0
Tap wate (DV),m3, Jan,658.0
Total Water Withdrawal (DV),m3, Jan,5645.0
Total Water Withdrawal (YB),m3, Jan,0.0
Total Water Withdrawal (DV+YB),m3, Jan,5645.0
Specific Water Withdrawal (DV),m3/ton, Jan,0.5874131666502079
Specific Water Withdrawal (YB),m3/ton, Jan,
Specific Water Withdrawal (DV+YB),m3/ton, Jan,0.5874131666502079
Surface water (Lake) (DV),m3, Feb,3058.0
Surface water (Lake) (YB),m3, Feb,0.0
Surface water (Lake) (DV+YB),m3, Feb,3058.0
Ground water (wells) (DV),m3, Feb,0.0
Tap wate (DV),m3, Feb,1198.0
Total Water Withdrawal (DV),m3, Feb,4256.0
Total Water Withdrawal (YB),m3, Feb,0.0
Total Water Withdrawal (DV+YB),m3, Feb,4256.0
Specific Water Withdrawal (DV),m3/ton, Feb,0.6744762935634405
Specific Water Withdrawal (YB),m3/ton, Feb,
Specific Water Withdrawal (DV+YB),m3/ton, Feb,0.6744762935634405
Surface water (Lake) (DV),m3, Mar,6675.0
Surface water (Lake) (YB),m3, Mar,0.0
Surface water (Lake) (DV+YB),m3, Mar,6675.0
Ground water (wells) (DV),m3, Mar,0.0
Tap wate (DV),m3, Mar,1079.0
Total Water Withdrawal (DV),m3, Mar,7754.0
Total Water Withdrawal (YB),m3, Mar,0.0
Total Water Withdrawal (DV+YB),m3, Mar,7754.0
Specific Water Withdrawal (DV),m3/ton, Mar,0.4372645126084167
Specific Water Withdrawal (YB),m3/ton, Mar,
Specific Water Withdrawal (DV+YB),m3/ton, Mar,0.4372645126084167
Surface water (Lake) (DV),m3, Apr,6392.0
Surface water (Lake) (YB),m3, Apr,0.0
Surface water (Lake) (DV+YB),m3, Apr,6392.0
Ground water (wells) (DV),m3, Apr,0.0
Tap wate (DV),m3, Apr,1292.0
Total Water Withdrawal (DV),m3, Apr,7684.0
Total Water Withdrawal (YB),m3, Apr,0.0
Total Water Withdrawal (DV+YB),m3, Apr,7684.0
Specific Water Withdrawal (DV),m3/ton, Apr,0.4864690394564767
Specific Water Withdrawal (YB),m3/ton, Apr,
Specific Water Withdrawal (DV+YB),m3/ton, Apr,0.4864690394564767
Surface water (Lake) (DV),m3, May,6393.0
Surface water (Lake) (YB),m3, May,0.0
Surface water (Lake) (DV+YB),m3, May,6393.0
Ground water (wells) (DV),m3, May,0.0
Tap wate (DV),m3, May,631.0
Total Water Withdrawal (DV),m3, May,7024.0
Total Water Withdrawal (YB),m3, May,0.0
Total Water Withdrawal (DV+YB),m3, May,7024.0
Specific Water Withdrawal (DV),m3/ton, May,0.4364956127871936
Specific Water Withdrawal (YB),m3/ton, May,
Specific Water Withdrawal (DV+YB),m3/ton, May,0.4364956127871936
Surface water (Lake) (DV),m3, Jun,6254.0
Surface water (Lake) (YB),m3, Jun,0.0
Surface water (Lake) (DV+YB),m3, Jun,6254.0
Ground water (wells) (DV),m3, Jun,0.0
Tap wate (DV),m3, Jun,1524.0
Total Water Withdrawal (DV),m3, Jun,7778.0
Total Water Withdrawal (YB),m3, Jun,0.0
Total Water Withdrawal (DV+YB),m3, Jun,7778.0
Specific Water Withdrawal (DV),m3/ton, Jun,0.4740365976609307
Specific Water Withdrawal (YB),m3/ton, Jun,
Specific Water Withdrawal (DV+YB),m3/ton, Jun,0.4740365976609307
Surface water (Lake) (DV),m3, Jul,6934.0
Surface water (Lake) (YB),m3, Jul,0.0
Surface water (Lake) (DV+YB),m3, Jul,6934.0
Ground water (wells) (DV),m3, Jul,0.0
Tap wate (DV),m3, Jul,2083.0
Total Water Withdrawal (DV),m3, Jul,9017.0
Total Water Withdrawal (YB),m3, Jul,0.0
Total Water Withdrawal (DV+YB),m3, Jul,9017.0
Specific Water Withdrawal (DV),m3/ton, Jul,0.4886117798406289
Specific Water Withdrawal (YB),m3/ton, Jul,
Specific Water Withdrawal (DV+YB),m3/ton, Jul,0.4886117798406289
Surface water (Lake) (DV),m3, Aug,6241.0
Surface water (Lake) (YB),m3, Aug,0.0
Surface water (Lake) (DV+YB),m3, Aug,6241.0
Ground water (wells) (DV),m3, Aug,0.0
Tap wate (DV),m3, Aug,1586.0
Total Water Withdrawal (DV),m3, Aug,7827.0
Total Water Withdrawal (YB),m3, Aug,0.0
Total Water Withdrawal (DV+YB),m3, Aug,7827.0
Specific Water Withdrawal (DV),m3/ton, Aug,0.4837564196593321
Specific Water Withdrawal (YB),m3/ton, Aug,
Specific Water Withdrawal (DV+YB),m3/ton, Aug,0.4837564196593321
Surface water (Lake) (DV),m3, Sep,5438.0
Surface water (Lake) (YB),m3, Sep,0.0
Surface water (Lake) (DV+YB),m3, Sep,5438.0
Ground water (wells) (DV),m3, Sep,
Tap wate (DV),m3, Sep,1369.0
Total Water Withdrawal (DV),m3, Sep,6807.0
Total Water Withdrawal (YB),m3, Sep,0.0
Total Water Withdrawal (DV+YB),m3, Sep,6807.0
Specific Water Withdrawal (DV),m3/ton, Sep,0.5608580703871562
Specific Water Withdrawal (YB),m3/ton, Sep,
Specific Water Withdrawal (DV+YB),m3/ton, Sep,0.5608580703871562
Surface water (Lake) (DV),m3, Oct,6081.0
Surface water (Lake) (YB),m3, Oct,0.0
Surface water (Lake) (DV+YB),m3, Oct,6081.0
Ground water (wells) (DV),m3, Oct,
Tap wate (DV),m3, Oct,1289.0
Total Water Withdrawal (DV),m3, Oct,7370.0
Total Water Withdrawal (YB),m3, Oct,0.0
Total Water Withdrawal (DV+YB),m3, Oct,7370.0
Specific Water Withdrawal (DV),m3/ton, Oct,0.591263047169183
Specific Water Withdrawal (YB),m3/ton, Oct,
Specific Water Withdrawal (DV+YB),m3/ton, Oct,0.591263047169183
Surface water (Lake) (DV),m3, Nov,6741.0
Surface water (Lake) (YB),m3, Nov,0.0
Surface water (Lake) (DV+YB),m3, Nov,6741.0
Ground water (wells) (DV),m3, Nov,
Tap wate (DV),m3, Nov,1726.0
Total Water Withdrawal (DV),m3, Nov,8467.0
Total Water Withdrawal (YB),m3, Nov,0.0
Total Water Withdrawal (DV+YB),m3, Nov,8467.0
Specific Water Withdrawal (DV),m3/ton, Nov,0.687025316736867
Specific Water Withdrawal (YB),m3/ton, Nov,
Specific Water Withdrawal (DV+YB),m3/ton, Nov,0.687025316736867
Surface water (Lake) (DV),m3, Dec,7894.0
Surface water (Lake) (YB),m3, Dec,0.0
Surface water (Lake) (DV+YB),m3, Dec,7894.0
Ground water (wells) (DV),m3, Dec,
Tap wate (DV),m3, Dec,1064.0
Total Water Withdrawal (DV),m3, Dec,8958.0
Total Water Withdrawal (YB),m3, Dec,0.0
Total Water Withdrawal (DV+YB),m3, Dec,8958.0
Specific Water Withdrawal (DV),m3/ton, Dec,0.574957987026792
Specific Water Withdrawal (YB),m3/ton, Dec,0.0
Specific Water Withdrawal (DV+YB),m3/ton, Dec,0.5597372968119856
